GB_locus	gene	DE11	E13	E15	E18	E21	P0	P7	P14	A
RATMGLUR4B	mGluR4	0	0	0.03	0.06	0.19	0.21	0.15	0.08	0.11
RATMGLUR	mGluR5	0	0	0.69	4.45	3.57	3.37	3.24	2.22	2.72
RATMGLUR6.	mGluR6	0	0.06	0.28	0.3	0.4	0.44	0.21	0.04	0.08
RNU06832	mGluR7	0	0.24	0.63	1.79	1.88	1.79	1.32	2.05	1.55
MMU17252	mGluR8	0.06	0	0.3	0.26	0.29	0.25	0.15	0.15	0.1
RNMDA	NMDA1	0	0	1.67	9.01	7.54	7.96	7.83	3.9	4.48
RATNMDA2A	NMDA2A	0	0	0	0	0	0.04	0.09	0.24	0.63
RATNMDA2B	NMDA2B	0.07	0	0.46	0.69	0.67	0.64	0.46	0.76	0.94
RATNMCA2C	NMDA2C	0	0	0	0.34	0.61	0.9	0.53	0.19	0.31
RNU08260	NMDA2D	0.55	0.51	0.27	0.62	0.81	0.82	0.41	0.26	0.18
RATNNAR	nAChRa2	0	0	0	0.06	0.14	0.16	0.13	0.11	0.08
RNACHRAR	nAChRa3	0.01	0.1	0.64	0.41	0.6	0.68	0.4	0.32	0.17
RATNARAA	nAChRa4	0.1	0.5	0.72	0.5	0.64	0.61	0.49	0.44	0.1
RATNACHRR	nAChRa5	0.18	0.65	0.78	0.67	0.69	0.62	0.48	0.27	0.27
RATNARA6S	nAChRa6	0.15	0.16	0.03	0.08	0.05	0.11	0.11	0	0
RATNARAD	nAChRa7	1.96	0.45	0.49	3.75	4.19	3.94	3.11	3.83	2.09
RNZCRD1	nAChRd	0.03	0.08	0	0	0	0	0	0	0
RNACRE	nAChRe	0	0	0.26	0.07	0	0.01	0	0	0.04
BOVMRM2SUB	mAChR2	0.16	0.12	0.92	2.47	2.77	2.86	3.47	3.56	1.9
RATACHRMB	mAChR3	0.06	0.1	0.16	0.28	0.56	0.55	0.21	0.22	0.06
RATACHRMD	mAChR4	0.2	0.14	0.06	0.14	0.32	0.34	0.44	0.69	0.41
RAT5HT1BR	5HT1b	0.11	0.24	0.4	0.54	0.71	0.7	0.5	0.45	0.21
RATSR1CA	5HT1c	0	0	0.12	0.62	0.77	0.86	1.06	0.97	0.87
RATSR5HT2	5HT2	0.16	0.11	0.47	0.88	1.09	0.91	0.86	0.7	0.59
MOUSE5HT3	5HT3	0.04	0.04	0.15	0.22	0.22	0.29	0.21	0.05	0.01
RNNGFB	NGF	0.21	0.42	0.1	0.14	0.13	0.17	0.12	0.25	0.71
RATHDNFNT	NT3	1.53	2.42	1.81	0.87	1.17	0.79	0	0.12	0.88
rat BDNF_D_BDNF	0.42	0.64	0.41	0.61	0.64	0.54	0.38	0.35	0.28
RNCNTF	CNTF	0.87	0.9	0.37	0.35	0.55	1.03	1.18	1.23	1.36
RATTRKPREC	trk	0	0.22	0.74	0.14	0.05	0.07	0.05	0.03	0
RATTRKB1	trkB	0.14	0.24	2.54	1.03	1.31	1.36	1.44	1.27	1.5
RATTRKCN3	trkC	0.18	0.51	1.22	0.86	1	1.18	0.91	1.2	1.2
S54212	CNTFR	1.34	1.51	1.52	1.41	1.58	1.43	1.28	1.33	1.5
MUSMK	MK2	2.11	3.11	2.46	1.72	1.35	1.57	1.83	1.47	0.83
RATHBGAM	PTN	2.2	2.48	2.76	2.1	2.08	1.94	2.27	2.49	1.75
RATGDNF	GDNF	0.41	0.36	0.08	0.11	0.22	0.22	0.16	0.1	0.05
RATEPGF	EGF	0.42	0.55	0.22	0.4	0.63	0.98	1.06	0.21	1.09
RNFGFT	bFGF	0.01	0.09	0.11	0.33	0.58	0.72	0.78	0.78	1.06
RNHBGF1	aFGF	0.02	0.06	0.25	0.33	0.75	0.66	1.08	1.01	1.57
RNPDGFACP	PDGFa	1.1	0.89	0.86	1.04	1.1	0.94	0.97	1.26	1.26
RNPDGFBCP	PDGFb	0.12	0.22	0.12	0.11	0.02	0	0	0	0
RATEGFR	EGFR	1.38	2.41	1.65	2.51	5.05	3.94	4.6	3.83	1.32
RATFGFR1	FGFR	1.05	0.97	0.64	0.79	0.92	0.9	0.8	0.88	0.93
RNPDGFRBE	PDGFR	0.49	0.6	0.59	0.19	0.19	0.19	0.19	0.17	0.3
RATTGFBIIR	TGFR	0.71	0.97	1.19	0.86	0.68	0.67	0.81	0.97	0.97
RNINS1	Ins1	0.03	0	0	0	0	0	0	0	0
RNINS2	Ins2	1.43	1.22	1.02	1.02	1.05	0.93	0.92	0.67	1.4
RATIGFIA	IGF_I	1	1.27	1.18	1.1	1.3	1.26	1.03	1.02	1.05
RATGFI2	IGF_II	1.03	1.15	0.97	0.9	0.62	0.65	0.5	0.46	0.22
RATINSAB	InsR	0.74	0.73	1.09	1.06	1.11	1.07	0.88	0.36	0.41
RATIGFI	IGFR1	1.5	1.22	1.95	1.2	1.01	1.18	0.75	1.1	1.16
MMU04710	IGFR2	1.54	1.07	1.33	1.12	0.86	0.79	0.65	0.48	0.43
RATRAFA	CRAF	1.94	1.9	1.97	2.06	2.2	2.17	1.53	0.76	1.36
RATI145TR	IP3R1	0.98	0.8	0.62	0.66	0.68	0.8	0.79	1.13	0.68
RNITPR2R	IP3R2	0.97	0.84	1.32	1.25	1.38	1.26	1.64	1.9	2.02
RATIP3R3X	IP3R3	0.24	0.28	0.24	0.19	0.34	0.39	0.14	0.11	0.07
RATPCNA	cyclin_A	2.44	2.21	2.36	2.1	2.33	1.87	1.97	1.55	1.53
RATCYCLNB	cyclin_B	1.79	1.8	1.81	0.88	0.94	0.85	0.76	0.42	0.03
RATHIS2AZ	H2AZ	1.73	1.88	1.76	1.99	1.86	1.76	1.62	1.36	1.65
RATPS1	statin	0	0.02	0.76	0.98	1.33	1.33	1.3	1.16	1.35
RNRJG9	cjun	0.33	0.66	0.7	0.49	0.64	0.57	0.59	0.72	1.42
RNCFOSR	cfos	0.17	0.16	0.29	0.46	0.54	0.87	0.58	0.52	1.48
(II)	Brm	0.96	1.19	0.72	0.79	0.65	0.6	0.4	0.49	0.32
(I_I)	TCP	1.36	1.28	1.3	1.33	1.48	1.51	1.5	1.38	1.09
RNAC01	actin	6.23	5.52	5.53	5.25	6.54	7.68	6.81	6.51	7.41
RNSODR	SOD	1.41	0.88	0.89	0.73	0.93	1.44	1.1	1.02	1.55
RATMTCYTOC	CCO1	2.65	2.18	2.36	3.15	2.41	2.29	2.52	2.03	2.42
RATMTCYTOC	CCO2	3.27	1.86	1.74	2.47	1.86	1.94	2.46	1.77	2.28
RNU19135	SC1	2.7	2.69	1.81	1.94	2.35	1.97	1.74	1.1	0.82
RNU19136	SC2	2.2	1.81	3.1	3.24	4.31	3.05	3.19	2.79	1.52
RNU19140	SC6	0.36	0.35	0	0	0	0	0	0	0
RNU19141	SC7	0.53	0.73	1.56	1.34	1.15	0.92	0.48	0.3	0.25
(I_I)	DD63.2	1.68	1.55	1.74	1.79	1.82	1.69	1.61	1.94	2.47
